CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,DISTINCT_INTERACTION_ID_CNT
54601,43.8412348,-91.2381604,2
55921,44.0520323,-91.6363807,1
54701,34.08826696,-118.3718289,1
54669,38.8866804,-77.014524,1
52049,43.8730173,-91.1786141,1
53218,43.0409377,-87.9365218,16
53215,43.00679569,-88.02960138,5
53209,43.0488227,-87.9278883,29
53403,42.7153861,-87.8181059,10
53212,43.02236034,-87.91836009,2
55921,43.6344605,-91.4965296,1
53185,43.0210082,-87.9968633,2
53209,43.0433344,-87.9240303,3
53225,43.1192086,-88.0324478,5
53212,43.0696125,-87.9161658,2
53225,43.0395821,-87.9198778,10
53029,43.0215108,-88.2316651,2
53219,43.0395821,-87.9198778,3
53215,43.0147369,-87.949006,3
53225,43.0533748,-89.3955318,1
53204,43.0395821,-87.9198778,10
53072,43.0395821,-87.9198778,1
53212,43.0467965,-88.0076535,1
53202,43.0568755,-87.9820427,1
53208,43.0483622,-87.9296885,14
53405,42.7167377,-87.8003283,1
53215,43.0433344,-87.9240303,5
53225,43.0932201,-87.9477251,5
53403,42.7258283,-87.7899518,2
53209,43.0559483,-88.2247031,1
53204,43.0530363,-87.934476,3
53121,42.6522441,-88.775456,1
53224,43.0395821,-87.9198778,6
53224,43.1452797,-88.071874,1
53212,43.0409377,-87.9365218,11
53218,43.0429146,-89.3759564,2
53218,43.0102909,-87.9870578,2
53219,43.1192086,-88.0324478,2
53218,43.0750725,-88.0038214,2
53225,43.0409377,-87.9365218,3
53216,43.0371135,-87.9137137,2
53223,42.9725875,-88.055915,1
53208,38.8120934,-77.0405248,3
53224,43.0555513,-87.9627692,1
53214,43.1479775,-87.9791231,1
53205,32.9112562,-96.8758046,1
53227,43.0409377,-87.9365218,1
53209,43.0483622,-87.9296885,5
55921,43.6348736,-91.4950365,1
55921,40.0462053,-82.8663252,1
54603,43.8113574,-91.2487587,1
54636,44.8079904,-91.4676772,1
53206,43.0633551,-87.9180815,5
53204,43.0229532,-87.9286594,1
54636,43.8153635,-91.2460309,1
53205,43.0433344,-87.9240303,6
54729,41.25178064,-96.13101696,1
53218,43.0565334,-87.9879237,1
53221,43.3878021,-87.8723519,1
53212,43.056006,-87.9162808,1
53216,43.0030085,-88.0298506,1
53218,43.08082581,-89.39213926,1
53216,43.0932201,-87.9477251,6
53221,43.0483622,-87.9296885,1
53214,43.00679569,-88.02960138,3
53207,43.0198308,-87.9186945,1
53214,43.0441177,-88.0289889,4
53221,43.0395821,-87.9198778,5
53110,43.1281001,-87.9909694,1
53402,42.7046712,-87.8011629,1
53222,43.0932201,-87.9477251,2
53225,43.0210082,-87.9968633,8
53207,42.988534,-87.8924671,1
53212,43.0483622,-87.9296885,5
53212,43.0625038,-87.9771504,1
53208,41.25178064,-96.13101696,1
53212,43.0718225,-89.3816961,1
53202,43.0440971,-88.0289756,1
53121,42.85666526,-88.32699927,1
53206,43.090023,-87.941777,3
53218,38.8120934,-77.0405248,2
53223,43.1847944,-88.0045085,3
53206,43.0892598,-88.0466451,1
53404,42.7153861,-87.8181059,3
53215,42.9754346,-87.9089248,3
53228,43.088674,-89.5263264,1
55921,43.6326477,-91.4961327,1
54636,43.8112152,-91.2446624,1
53218,43.015901,-87.9129857,1
53204,43.033482,-87.908583,1
53210,43.0795815,-87.9669952,3
53204,43.0481017,-87.9320632,1
53046,43.0210082,-87.9968633,1
53233,42.972029,-87.91947462,1
53206,43.0441177,-88.0289889,4
53406,42.73079,-87.7832232,1
53215,43.0336437,-87.9147865,1
53224,43.03884557,-87.91469278,2
53204,43.0615264,-87.8864629,1
53405,42.715413,-87.829413,1
53404,42.7091628,-87.8045215,2
53212,,,6
53209,43.0418686,-87.9084624,3
53220,43.0227027,-87.9339812,1
53206,43.0715876,-87.9352803,6
53220,43.0441177,-88.0289889,1
53211,43.0898173,-87.9122221,1
53215,43.0523297,-87.9458108,1
53110,43.1192086,-88.0324478,1
53209,43.0147369,-87.949006,1
53404,43.03884557,-87.91469278,2
52175,,,1
54636,43.8149618,-91.2504499,1
54636,0,0,1
54636,43.8094582,-91.2413557,1
53222,43.3770743,-88.4380492,1
53132,43.0210082,-87.9968633,1
53227,43.042531,-87.94918,1
53204,42.7167377,-87.8003283,1
53207,43.0565334,-87.9879237,1
53216,43.0556602,-87.9181198,1
54729,44.9363389,-91.3967156,1
54669,43.8119402,-91.2378063,1
53221,43.0185227,-87.9471891,1
53227,43.0597659,-88.0747716,1
53206,43.073728,-89.3823586,1
53223,43.1423223,-87.9539741,1
53206,43.0717498,-87.9443175,1
53212,42.9528004,-87.8493737,1
53204,42.9943092,-87.9134072,2
53154,42.883575,-87.9131773,1
53216,43.0551291,-87.9327909,1
53212,43.1452797,-88.071874,1
53212,43.067804,-87.9229711,1
54601,44.5001569,-89.5620655,1
54636,43.8276228,-91.2155493,1
54601,43.8149618,-91.2504499,1
54729,39.0621943,-77.1123801,1
53110,43.0122026,-87.9523576,1
53218,43.0615264,-87.8864629,1
53219,43.0102909,-87.9870578,1
53206,43.0821724,-87.9418765,1
53188,43.0565334,-87.9879237,1
53209,43.0383969,-87.947036,1
53218,43.0392652,-87.9152463,1
53209,43.1012479,-87.9173147,1
53233,43.062877,-87.9279037,1
53212,43.0411607,-87.9142099,1
53214,43.0483622,-87.9296885,1
53212,43.052153,-87.9191542,2
53404,42.7254704,-87.7851336,2
53204,43.0392652,-87.9152463,1
53216,43.0229535,-87.9298417,1
53132,42.9943092,-87.9134072,1
53216,43.0781352,-87.9160112,3
53212,43.062877,-87.9279037,1
53228,43.3185059,-87.9289788,1
53214,43.04333,-87.9237698,1
53105,42.7300554,-87.9606641,2
53221,43.1344371,-88.0070416,1
53206,42.972029,-87.91947462,1
54669,43.06394023,-89.41875413,1
53210,43.0906535,-87.9450801,2
53403,42.5492485,-87.8259614,1
53204,43.0944347,-87.9058966,1
53216,42.898416,-87.917775,1
53223,43.0388838,-87.9466914,1
53110,43.03884557,-87.91469278,1
53206,43.0406934,-87.9124493,1
53206,43.0554359,-87.9627249,1
53218,40.85448247,-74.42679331,1
53204,43.0542933,-87.9138287,1
53188,43.0230072,-88.2131352,1
53212,38.8120934,-77.0405248,3
53223,43.0551291,-87.9327909,1
53216,43.1189012,-87.9970031,1
54303,44.5190473,-88.1019027,1
53218,43.1116189,-87.9641853,2
54729,44.7865386,-91.5193873,1
54603,43.8186417,-91.2484103,1
54669,43.9052348,-91.0804298,1
53208,43.0386745,-87.9199844,1
53218,43.1103985,-87.9497902,1
53207,43.0555513,-87.9627692,1
54669,43.850713,-91.234189,1
53206,43.0102423,-88.226241,1
53219,43.0753949,-87.9553052,1
53072,43.0827287,-88.2595434,1
53202,43.00679569,-88.02960138,1
53212,43.0139088,-88.2347018,1
53206,42.9943092,-87.9134072,1
53216,43.0739184,-89.4596141,1
53185,43.07011497,-88.24109471,1
53215,43.0419228,-87.9088701,1
53001,43.03884557,-87.91469278,1
53221,43.0418686,-87.9084624,1
53210,43.04333,-87.9237698,1
53218,43.0607301,-87.8800439,1
53216,41.1485931,-73.492733,1
53404,43.0835215,-89.3643879,1
53223,43.0139088,-88.2347018,1
53215,42.968637,-88.0469299,1
53051,43.0210082,-87.9968633,1
53207,43.0511886,-87.939263,1
55921,43.5217417,-91.7720852,1
54669,43.03521521,-89.44944207,1
53233,43.0386745,-87.9199844,1
53209,43.089777,-87.988605,1
53214,43.0555513,-87.9627692,1
53218,43.0426807,-87.9237513,1
53223,43.0395821,-87.9198778,2
53521,42.8717865,-89.533508,1
53207,43.0024358,-87.9136371,1
53212,43.0382397,-87.9047469,1
53216,43.0663966,-87.946555,1
53212,43.0932201,-87.9477251,2
53214,43.1281001,-87.9909694,1
53027,43.4260334,-88.1755546,1
53206,43.0383969,-87.947036,1
53403,42.7125,-88.1148376,1
53215,43.0467965,-88.0076535,2
53205,43.0409377,-87.9365218,11
53208,43.0210082,-87.9968633,28
53205,43.0426483,-87.9212718,1
53208,43.0488227,-87.9278883,25
53219,43.0210082,-87.9968633,2
54729,44.9405362,-91.3964516,1
53216,43.0409377,-87.9365218,11
53205,43.3185059,-87.9289788,1
53051,,,2
53209,43.0898173,-87.9122221,1
53208,43.0554359,-87.9627249,1
53214,43.0166335,-87.9915947,1
53205,43.0890466,-87.920121,1
53216,43.0122026,-87.9523576,1
53214,43.3185059,-87.9289788,1
53209,43.0395821,-87.9198778,14
53204,43.0371135,-87.9137137,1
53210,43.0483622,-87.9296885,5
53218,43.0488227,-87.9278883,27
53216,43.0411607,-87.9142099,3
53206,43.0607703,-87.934476,14
53210,43.0535607,-87.9194224,1
53208,43.0409377,-87.9365218,15
53204,0,0,3
53210,43.061501,-87.974422,1
53211,43.0409377,-87.9365218,1
53211,43.00679569,-88.02960138,1
53206,43.0625038,-87.9771504,6
53223,43.0533748,-89.3955318,2
53204,43.0426483,-87.9212718,1
53216,43.0555513,-87.9627692,3
53216,43.1156658,-87.9865519,1
53225,43.03733013,-87.92320041,1
53209,43.101475,-87.9903615,1
53206,43.00679569,-88.02960138,7
53216,43.0210082,-87.9968633,11
53210,,,10
53202,43.0530363,-87.934476,1
53202,,,5
53208,43.0392652,-87.9152463,2
53094,43.0923884,-89.3525366,1
54729,43.0093806,-88.2300293,1
53233,43.1479775,-87.9791231,1
55921,37.7811495,-122.4579245,1
54729,44.9135889,-91.3955842,1
53206,43.0556602,-87.9181198,6
53224,43.1790677,-88.0077181,2
53206,43.020389,-87.9327909,1
53212,41.9819282,-87.8376307,1
53212,43.0633551,-87.9180815,4
53218,43.0901002,-87.9661372,3
53223,43.0054478,-87.9758952,1
53215,43.0386745,-87.9199844,1
53225,43.0147369,-87.949006,1
53206,43.052153,-87.9191542,6
53202,43.0483622,-87.9296885,1
53212,43.1347475,-89.2905861,1
53225,43.1847944,-88.0045085,1
53220,42.9943092,-87.9134072,2
53103,43.03884557,-87.91469278,1
53404,42.7148104,-87.8143275,1
53209,43.0415872,-87.9240961,2
53233,43.0530363,-87.934476,3
53216,43.0676122,-87.9781143,1
53205,42.9856117,-87.9355419,1
53206,43.0932201,-87.9477251,5
53208,43.1479775,-87.9791231,4
53224,43.0530363,-87.934476,2
nan,43.0484209,-87.9797328,1
55921,43.8088497,-91.7544532,1
55921,43.6383785,-91.4935622,1
54669,43.8985825,-91.1094488,1
54636,43.1469874,-89.2922553,1
53216,43.00679569,-88.02960138,3
53214,43.0135771,-87.941262,1
53210,43.0121929,-88.2229148,1
53189,43.0100475,-88.2314369,1
53405,43.0388838,-87.9466914,1
53212,42.972029,-87.91947462,2
53403,42.7678358,-87.7862687,1
53215,43.0488227,-87.9278883,16
53215,43.0439809,-87.9086048,1
53221,43.0603089,-89.2885089,1
53233,43.0488227,-87.9278883,5
53404,42.7265875,-87.8064506,4
53208,43.0139088,-88.2347018,2
54650,43.8730173,-91.1786141,1
53154,43.0395821,-87.9198778,1
53215,43.0607703,-87.934476,1
53206,43.0696125,-87.9161658,1
53204,42.156878,-87.8710863,1
53215,43.1368932,-87.9546928,1
53110,42.9528004,-87.8493737,1
54669,43.8043634,-91.2427084,1
53212,43.1156658,-87.9865502,1
53206,43.8146827,-91.2486459,1
53224,43.0511886,-87.939263,1
54669,43.0923884,-89.3525366,2
53405,42.7091628,-87.8045215,2
53208,43.0750725,-88.0038214,2
53212,43.0054478,-87.9758952,1
53210,43.0676122,-87.9781143,3
53216,43.0901002,-87.9661372,1
53215,43.0453982,-87.9001095,2
53233,43.0426483,-87.9212718,1
53209,38.8120934,-77.0405248,1
53215,42.9809926,-87.9465191,1
53221,43.0409377,-87.9365218,4
53208,35.20783477,-80.83076703,2
53221,43.0210082,-87.9968633,4
53186,42.9895128,-88.2447349,1
53233,43.0433322,-87.9238174,1
53215,42.988534,-87.8924671,1
53403,42.7141496,-87.8022693,2
53206,43.0658628,-87.9121427,1
53218,43.0124994,-87.9928039,1
53206,43.0654111,-87.9144034,1
53404,42.5970446,-87.8564334,1
53209,43.0625038,-87.9771504,4
53051,43.0124564,-88.2203274,1
54650,43.8754262,-91.1801525,2
53204,43.0406934,-87.9124493,1
54650,43.8149618,-91.2504499,1
55974,43.8838955,-91.2309818,1
54669,43.8178198,-91.2309843,1
54669,43.7732581,-91.2162628,1
53208,43.0471809,-87.904287,1
54669,43.807362,-91.252066,1
53185,43.0214964,-88.2316036,1
53402,43.1161888,-89.3540564,1
54729,,,1
54729,44.9599555,-89.6252381,1
54729,44.8832938,-91.8939361,1
53105,42.7168522,-87.8476854,1
53204,43.0433865,-87.9208399,1
53222,43.0607703,-87.934476,1
53220,43.0124994,-87.9928039,1
53206,43.1479775,-87.9791231,1
53406,42.7168522,-87.8476854,2
53219,42.9598425,-87.9689602,1
53220,42.9670153,-87.9516685,2
53225,43.0371135,-87.9137137,1
53223,38.8839902,-77.0227117,1
53204,43.1648821,-88.0055004,1
53206,43.0147369,-87.949006,1
53224,42.972029,-87.91947462,1
53209,43.1188947,-87.9982818,2
53214,43.1040079,-87.9600134,1
53216,43.0957561,-87.9707122,1
53215,43.0472661,-87.8985764,2
54601,43.8276228,-91.2155493,3
55921,44.0526896,-91.6367827,1
54650,43.8058612,-91.243225,1
53213,43.0483622,-87.9296885,2
53209,43.0781352,-87.9160112,2
53403,42.5663706,-87.8468795,1
53206,44.8103763,-91.4994402,1
53219,43.0127552,-88.0005271,1
53216,43.1057349,-87.9337483,1
53204,43.094395,-87.9059365,1
53225,43.0750725,-88.0038214,1
53210,43.0418686,-87.9084624,1
53404,43.0718225,-89.3816961,1
53208,43.0535766,-87.9286927,2
53186,43.0256503,-88.232283,1
53204,43.0386567,-87.91364,1
53206,43.046,-87.9026344,1
53214,43.020389,-87.9327909,1
53223,43.1244822,-87.9850609,2
53405,43.0365345,-89.411282,1
53210,38.8120934,-77.0405248,1
53202,43.0471809,-87.904287,2
54601,43.8178198,-91.2309843,1
53220,43.0409377,-87.9365218,1
54636,,,1
53227,43.0441177,-88.0289889,1
54636,43.0759324,-89.381178,1
53206,43.0453982,-87.9001095,1
53214,43.1176754,-87.9904266,1
53216,43.1790677,-88.0077181,1
53205,43.0163831,-88.0088269,1
53218,43.03733013,-87.92320041,1
53210,43.03884557,-87.91469278,1
53227,42.988534,-87.8924671,1
53216,43.009808,-87.9618726,1
53211,43.1192086,-88.0324478,1
53233,43.0535607,-87.9194224,1
53228,43.0440971,-88.0289756,1
53207,43.0410791,-88.0397474,1
53210,43.0433322,-87.9238174,1
53210,43.067615,-87.9441198,1
53208,43.0333532,-88.1698993,1
53154,43.0530363,-87.934476,1
53404,42.7233633,-87.7822227,1
53210,43.0718225,-89.3816961,1
54601,43.098365,-89.3050382,1
55921,,,1
54729,44.9271098,-91.3604126,1
53218,43.1156658,-87.9865502,1
53029,43.0210082,-87.9968633,1
53221,43.0530363,-87.934476,1
53218,43.0533748,-89.3955318,1
53215,0,0,1
53207,43.0386745,-87.9199844,1
53213,43.0556602,-87.9181198,1
53403,42.7275578,-87.7845572,1
53227,43.0124994,-87.9928039,1
53091,43.0215268,-88.2537804,1
53210,43.0135771,-87.941262,1
53208,43.0429146,-89.3759564,1
53214,43.0750725,-88.0038214,1
53222,43.0396707,-87.9504051,1
53209,43.1648821,-88.0055004,1
54403,44.959661,-89.6285111,1
53216,43.0433322,-87.9238174,1
53212,43.1648821,-88.0055004,1
53216,38.851059,-77.050559,1
53228,43.0395821,-87.9198778,1
53209,43.0718225,-89.3816961,1
53209,43.0172772,-87.9734204,1
53402,42.7300554,-87.9606641,1
53406,42.7300554,-87.9606641,1
53208,43.0193608,-87.958023,1
53405,43.0718225,-89.3816961,1
53222,43.0091909,-88.2275888,1
53224,43.00679569,-88.02960138,1
52049,38.883601,-77.0264339,1
53404,42.7480251,-87.7856331,4
53215,43.1176754,-87.9904266,1
53223,43.0409377,-87.9365218,7
53215,43.0395821,-87.9198778,10
53212,43.1192086,-88.0324478,6
53403,42.732284,-87.7922417,9
53206,43.02236034,-87.91836009,1
53222,43.1188947,-87.9982818,1
53216,43.0395821,-87.9198778,21
53206,43.0555513,-87.9627692,2
53216,43.0511886,-87.939263,1
53216,43.0488227,-87.9278883,24
53209,43.0081457,-88.2256718,1
53403,42.7148104,-87.8143275,4
53005,43.0215108,-88.2316651,1
53224,43.1847944,-88.0045085,3
55921,40.735083,-73.9881983,1
53405,42.7480251,-87.7856331,1
53206,43.0488227,-87.9278883,27
53224,43.0483622,-87.9296885,4
53208,43.04333,-87.9237698,5
53233,43.0210082,-87.9968633,6
53405,42.7265875,-87.8064506,5
53405,0,0,1
53225,43.0433344,-87.9240303,2
53202,43.0615264,-87.8864629,1
53206,43.0433344,-87.9240303,9
53216,43.0750725,-88.0038214,4
53208,43.1192086,-88.0324478,4
53233,,,3
53220,43.0488227,-87.9278883,4
53188,43.0136678,-88.237429,3
53207,42.972029,-87.91947462,1
53209,43.0417217,-87.9043253,1
53206,43.067615,-87.9441198,8
53212,43.0607703,-87.934476,7
53215,42.9943092,-87.9134072,4
53205,43.0607703,-87.934476,2
53233,43.0433344,-87.9240303,4
53205,43.00679569,-88.02960138,8
53227,43.0395821,-87.9198778,2
53216,43.0402924,-87.9140894,2
54601,43.8754262,-91.1801525,2
53224,43.03733013,-87.92320041,1
53072,42.72878853,-87.80726897,1
53218,43.052153,-87.9191542,1
53216,43.029371,-88.267498,1
53220,43.00679569,-88.02960138,1
53202,43.067615,-87.9441198,1
53404,43.1002545,-89.5390746,2
53212,43.0555576,-87.9145566,1
53210,43.0731159,-88.05589,1
54636,43.8148533,-91.2466917,1
53205,43.0122026,-87.9523576,2
53209,43.0439809,-87.9086048,1
53210,42.9919933,-87.9375834,1
53208,43.0613891,-87.9751641,1
53204,43.0426219,-87.9279631,1
53205,43.0641205,-87.96717239,1
53210,43.0433344,-87.9240303,6
53205,43.0441177,-88.0289889,1
53212,43.0012827,-88.0511015,1
53209,43.1002545,-89.5390746,1
53404,42.732284,-87.7922417,9
53110,43.0386745,-87.9199844,1
53208,43.0441177,-88.0289889,6
53206,43.03884557,-87.91469278,2
53226,43.0488227,-87.9278883,2
53212,43.00679569,-88.02960138,8
53225,43.0607703,-87.934476,3
53188,43.0497976,-88.3717382,1
53206,43.1368932,-87.9546928,1
53189,43.0923884,-89.3525366,1
53205,43.0556602,-87.9181198,3
53218,43.0932201,-87.9477251,10
53403,43.0483622,-87.9296885,1
53403,42.7167377,-87.8003283,4
53188,32.9112562,-96.8758046,1
54601,43.8299982,-91.2498674,1
53206,43.9439587,-90.8131171,1
53213,43.0215268,-88.2537804,1
53202,43.0022434,-87.9197672,1
53115,42.6327899,-88.6381932,1
53221,42.9668847,-87.9359115,1
53211,43.0483622,-87.9296885,1
53225,43.1244822,-87.9850609,2
53214,43.0395821,-87.9198778,1
53208,43.0559926,-87.9144992,1
53403,42.7480251,-87.7856331,2
53209,32.9112562,-96.8758046,1
53216,0,0,2
53210,43.0511886,-87.939263,3
53226,43.1203566,-88.0140662,1
53222,43.1281001,-87.9909694,2
53218,43.1281001,-87.9909694,1
53222,43.0625038,-87.9771504,2
53210,43.0441177,-88.0289889,4
53210,43.1156658,-87.9865502,3
53219,43.0175128,-88.0583091,1
53210,43.0395821,-87.9198778,11
53208,43.01389672,-88.23000754,1
53204,43.0892598,-88.0466451,2
53202,39.3176611,-76.763428,1
53225,43.0547713,-87.95783797,1
53402,42.7678358,-87.7862687,2
53209,43.1281001,-87.9909694,1
53212,43.0654111,-87.9144034,2
53226,43.0210082,-87.9968633,1
53186,43.0215108,-88.2316651,4
53214,43.0185227,-87.9471891,1
53092,43.3878021,-87.8723519,1
54729,43.0365345,-89.411282,1
54669,43.9003471,-91.0808416,1
54650,44.2513583,-88.3688148,1
53233,43.1281001,-87.9909694,1
54729,44.9516569,-91.364826,1
54636,43.7923931,-91.2566846,1
54601,43.8028442,-91.0944166,1
52049,43.8754262,-91.1801525,1
53206,43.0601086,-87.9167405,1
53227,43.0718225,-89.3816961,1
53216,43.1156658,-87.9865502,1
54729,44.8907241,-91.9310145,1
53402,43.0923884,-89.3525366,1
53208,43.1804866,-87.963573,1
53209,43.0773764,-87.9580253,1
