Field Column Name;Datatype / Format;Style Guide Notes;Considerations;;;;;;;;;;;;;;;;;;;;;;
Client_Id;Unique integer ID;None;None;;;;;;;;;;;;;;;;;;;;;;
Interaction_Id;Unique integer ID;None;None;;;;;;;;;;;;;;;;;;;;;;
Interaction_CreateStamp;Timestamp;None;None;;;;;;;;;;;;;;;;;;;;;;
Interaction_EditStamp;Timestamp;None;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_SwfCounty;"[2960 => ""Adams"", 2961 => ""Ashland"", 2962 => ""Bad River Band of Lake Superior Chippewa"", 2963 => ""Barron"", 2964 => ""Bayfield"", 2965 => ""Brothertown Indian Nation"", 2966 => ""Brown"", 2967 => ""Buffalo"", 2968 => ""Burnett"", 2969 => ""Calumet"", 2970 => ""Chippewa"", 2971 => ""Clark"", 2972 => ""Columbia"", 2973 => ""Crawford"", 2974 => ""Dane"", 2975 => ""Dodge"", 2976 => ""Door"", 2977 => ""Douglas"", 2978 => ""Dunn"", 2979 => ""Eau Claire"", 2980 => ""Florence"", 2981 => ""Fond du Lac"", 2982 => ""Forest"", 2983 => ""Forest County Potawatomi"", 2984 => ""Grant"", 2985 => ""Green"", 2986 => ""Green Lake"", 2987 => ""Ho-Chunk Nation"", 2988 => ""Iowa"", 2989 => ""Iron"", 2990 => ""Jackson"", 2991 => ""Jefferson"", 2992 => ""Juneau"", 2993 => ""Kenosha"", 2994 => ""Kewaunee"", 2995 => ""La Crosse"", 2996 => ""Lac Courte Oreilles Band of Lake Superior Chippewa"", 2997 => ""Lac Du Flambeau Band of Lake Superior Chippewa"", 2998 => ""Lafayette"", 2999 => ""Langlade"", 3000 => ""Lincoln"", 3001 => ""Manitowoc"", 3002 => ""Marathon"", 3003 => ""Marinette"", 3004 => ""Marquette"", 3005 => ""Menominee Indian Tribe of Wisconsin"", 3006 => ""Menominee"", 3007 => ""Milwaukee"", 3008 => ""Mole Lake Band of Lake Superior Chippewa"", 3009 => ""Monroe"", 3010 => ""Oconto"", 3011 => ""Oneida"", 3012 => ""Oneida Nation"", 3013 => ""Outagamie"", 3014 => ""Ozaukee"", 3015 => ""Pepin"", 3016 => ""Pierce"", 3017 => ""Polk"", 3018 => ""Portage"", 3019 => ""Price"", 3020 => ""Racine"", 3021 => ""Red Cliff Band of Lake Superior Chippewa"", 3022 => ""Richland"", 3023 => ""Rock"", 3024 => ""Rusk"", 3025 => ""Saint Croix"", 3026 => ""Saint Croix Chippewa Indians of Wisconsin"", 3027 => ""Sauk"", 3028 => ""Sawyer"", 3029 => ""Shawano"", 3030 => ""Sheboygan"", 3031 => ""Stockbridge-Munsee Community Band of Mohican Indians"", 3032 => ""Taylor"", 3033 => ""Trempealeau"", 3034 => ""Vernon"", 3035 => ""Vilas"", 3036 => ""Walworth"", 3037 => ""Washburn"", 3038 => ""Washington"", 3039 => ""Waukesha"", 3040 => ""Waupaca"", 3041 => ""Waushara"", 3042 => ""Winnebago"", 3043 => ""Wood"", 3044 => ""Other"", 3045 => ""Allamakee, IA"", 3046 => ""Clayton, IA"", 3047 => ""Fayette, IA"", 3048 => ""Howard, IA"", 3049 => ""Winneshiek, IA"", 3050 => ""Houston, MN"", 3051 => ""Fillmore, MN"", 3052 => ""Winona, MN"", 3270 => ""Other MN""]";"Required field  - ""Caller County""";New field created in 2021/2022 during transition to Statewide client sharing. Better data than the client level address module as it is asked every time and recorded in an optionlist instead of text. ;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_SwfPrimaryNeeds;"[2911 => ""Food"", 2912 => ""Utility/Energy"", 2913 => ""Housing Payment Assistance"", 2914 => ""Shelter"", 2915 => ""Mental Health"", 2916 => ""Substance Use"", 2917 => ""Health Care Coverage"", 2918 => ""Legal Assistance"", 2919 => ""Supportive Listening"", 2920 => ""Other Financial Assistance"", 2921 => ""Other"", 3053 => ""Crisis"", 3107 => ""Transportation"", 3175 => ""Directory Assistance""]";"Required field - ""Primary need/s of person needing service""";New field created in 2021/2022 during transition to Statewide client sharing.;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_SwfSecondaryNeeds;"[2947 => ""Food"", 2948 => ""Utility/Energy"", 2949 => ""Housing Payment Assistance"", 2950 => ""Shelter"", 2951 => ""Mental Health"", 2952 => ""Substance Use"", 2953 => ""Health Care Coverage"", 2954 => ""Legal Assistance"", 2955 => ""Other Financial Assistance"", 2956 => ""Other"", 2957 => ""Caller declined"", 2958 => ""Warm Transferred"", 3108 => ""Transportation""]";"""Are there other resources I can help you with? (Mark secondary need as requested by the caller.)""";New field created in 2021/2022 during transition to Statewide client sharing.;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_SwfDependentsInHousehold;true,false,null;"""Dependents in household""";New field created in 2021/2022 during transition to Statewide client sharing.;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_SwfDependentAgeRange;"[2922 => ""Birth to 8 weeks"", 2923 => ""2 months to 5 yrs"", 2924 => ""Ages 6 to 12"", 2925 => ""Ages 13 to 17"", 2926 => ""Ages 18 to 25"", 2927 => ""Ages 25 to 49"", 2928 => ""Ages 50-64"", 2929 => ""65 and older"", 2959 => ""Not Shared"", 3097 => ""0 - 3 months"", 3098 => ""4 - 11 months"", 3099 => ""1 - 3 years"", 3100 => ""4 - 5 years"", 3101 => ""6 - 12 years"", 3102 => ""13 - 17 years"", 3103 => ""18 - 25 years"", 3104 => ""26 - 49 years"", 3105 => ""50 - 64 years"", 3106 => ""65 + years""]";"""Age range/s of dependents""";"New field created in 2021/2022 during transition to Statewide client sharing. Only appears when ""swfdependentsinhousehold"" is true";;;;;;;;;;;;;;;;;;;;;;
InteractionOption_SwfPublicBenefitsProgramEnrollment;"[2938 => ""Medicaid"", 2939 => ""Foodshare/SNAP"", 2940 => ""Supplemental Security Income (SSI – NOT SSDI)"", 2941 => ""Federal Public Housing Assistance (Section 8)"", 2942 => ""Veteran and Survivors Benefits"", 2943 => ""Household Income Below 135 Percent Fed Poverty Level"", 2944 => ""PSC Lifeline"", 2945 => ""Not Currently Enrolled"", 2946 => ""Does Not Qualify"", 3110 => ""Tribal Specific Programs"", 3211 => ""National School Lunch Program"", 3212 => ""WIC (Women, Infants and Children)"", 3213 => ""Federal Pell Grant Recipient (Current year)""]";"""Public benefit enrollment/s (indicate individual or household enrollment in any of the following programs)""";New field created in 2021/2022 during transition to Statewide client sharing.;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_CallCenterSiteNew;"[1956 => ""Brown County"", 1957 => ""Dane County"", 1958 => ""Fox Cities"", 1959 => ""Great Rivers"", 1960 => ""Impact"", 1961 => ""Inner Wisconsin"", 1962 => ""Marathon"", 1963 => ""St. Croix"", 1967 => ""Statewide (Admin Only)"", 2845 => ""Frontline""]";"Required field - ""Call Center Site"" - select your call center";This field represents which call center took the call that this interaction represents. ;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_HowDidTheyContactYou;"[688 => ""Call"", 689 => ""Text"", 690 => ""Chat"", 691 => ""Email"", 1020 => ""Mail"", 1515 => ""Online"", 1824 => ""In-person""]";"""How did they contact you?""";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_ContactType2;"[684 => ""2-1-1 Call"", 685 => ""Admin Call"", 686 => ""Contract"", 687 => ""Escape Call""]";"Required field - ""Contact Type"" - 211 Call: Select when caller is looking for information or resources for self, family member, family, friend, client, or own organization. Admin Call: Select when Professional is calling as a representative of their organization with administrative questions about their relationship with 2-1-1. Contract: Slect if the call is related to a specific call center contract. Escape Call: Select if this is a test call or if the client hung up before you could ascertain any information.";Should remove escape calls from the data - if there are blank values here there amy have been an error in a previous project form. Come to us for any clarification if something looks wonky.;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhatTypeOfAdminCall;"[730 => ""Resource"", 731 => ""Material Request"", 732 => ""Other""]";"Only appears is Admin is selected in ""ContactType2"" - Resource: Select if organization calls to update their resource listing, inquire about being listed in database or publication, or to talk with
resource manager about other database concern. Material Request: Select if agency calls to restock promotional or resource materials for general use in their organization. Do not use if agency is calling on behalf of specific client and requests a copy of a resource directory. If information is for a specific client, it would be considered a 2-1-1 Call. Other: Any other administrative call from a professional representative of
an organization.";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_CallingOnBehalfOf;"[540 => ""Self"", 541 => ""Family member"", 542 => ""Friend"", 543 => ""Client"", 544 => ""Organization"", 545 => ""Family""]";"""Calling on behalf of"" Self: Select if no other household members are indicated OR if request only directly benefits the caller as an individual. Friend: Select if caller is calling on behalf of someone they know but are not related to and person in need is not in the same household. Family member:Select if person in need is related to the caller but does not live in same household OR if service only directly benefits a single member of the household who is not the caller. Family: Select if other household members are indicated AND request will benefit
multiple ";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhoIsCalling;"[757 => ""Individual"", 758 => ""Professional""]";"""Who is calling"" - Client: Select if professional is calling for resources for a client, parishioner, employee, etc. Not for general benefit of their organization. Organization: Select if professional is calling for resources or materials for the general use/benefit of organization or for reference (no particular client indicated)";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhatTypeOfProfessional;"[698 => ""Agency"", 699 => ""Clergy"", 700 => ""Employer"", 701 => ""Law Enforcement"", 702 => ""Other""]";"""what type of professional"" - Agency: Select if professional is calling for their own organization or for a client who receives services. Clergy: Select when caller is church/synagogue/mosque/faith community staff or representative. Employer: Select if professional is calling for an employee. Agencies can be marked as employers if they are calling for an employee of the agency. Law Enforcement :Select if caller is representative of police, emergency medical personnel, fire department. Other: Select if professional is calling but does not fit any above definitions";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_211CallType;"[721 => ""Information Only"", 722 => ""Information and Referral"", 723 => ""Crisis"", 724 => ""No Referral Given""]";Information Only: Select when giving information in response to specific inquiries, like a program’s phone number, address, hours, etc. (See 2019 AIRS I&R Training Manual). Select Information Only if an unmet need is recorded and no other referrals were given. If a call is mental health-related with no referral, log it as Information Only and save a referral to your center. Information & Referral: Select when assessment is performed and referrals are given. Caller may be aware of problem in a general way, but need assistance to define specific needs and identify sources of help. (See 2019 AIRS I&R Training Manual). Crisis: Select when performing crisis intervention to ensure safety of caller or others. Can include medical or psychiatric emergency, domestic violence, child or vulnerable adult abuse/neglect, or other forms of distress. Often used when referrals or transfers are made to crisis centers, law enforcement, medical or fire emergency personnel. (See 2019 AIRS I&R Training Manual: Roles of an I&R). No Referral Given: Select when no referrals, OODs, or unmet needs are recorded;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhyWasThereNoReferralGiven;"[725 => ""Call Terminated"", 726 => ""Directions"", 727 => ""Prank Call"", 728 => ""Time/Day/Date"", 729 => ""Wrong Number"", 1106 => ""Crisis Call/No Referral"", 1107 => ""Supportive Listening"", 1265 => ""Admin Call for Contract"", 1751 => ""Voicemail""]";"Only viewable if ""211CallType"" equals ""No Referral Given"" - Select appropriate Reason for No Referral. Call Terminated: Select when call disconnects before any referral information can be given. If need was expressed and was a definite unmet need, record the unmet need and mark Information Only. If you know the need the caller is calling about, log with Refer To Needs Only and choose correct Taxonomy term. Prank Call: Select for any prank calls. Wrong Number: Select when caller called 2-1-1 by mistake and no other numbers are provided by I&R Specialist. If specialist provides caller with the correct contact information for the number they were originally trying to reach, record referral and mark Information Only";None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_HowDidYouHearAbout2111;"[546 => ""Agency/Provider"", 547 => ""Internet"", 548 => ""Media"", 549 => ""Phonebook"", 550 => ""PR Materials"", 551 => ""Word of mouth"", 552 => ""Repeat"", 553 => ""Other"", 554 => ""Unknown"", 1148 => ""United Way"", 1215 => ""Misdirected call""]";How the caller heard about 211 - options are self explanatory;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WhatTypeOfMedia;"[1112 => ""Billboard"", 1113 => ""Campaign"", 1114 => ""Commercial/Ad"", 1115 => ""News"", 1116 => ""Social Media""]";Triggered by HowDidYouHearAbout211 = Media, options are self explanatory;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_MayIFollowUpWithYou;"[1328 => ""Yes"", 1329 => ""Refused follow up"", 1330 => ""Did Not Ask"", 1331 => ""Call Disconnected"", 1332 => ""Crisis""]";Follow-up call permission - options self explanatory;"We have had historical issues of centers not marking this field as a ""No"" even when they ask it to the caller. The data for non response and ask-rate is skewed.";;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_WarmTransfer;true,false,null;equals true if the caller was warm transferred to a resource by the I&R specialist ;None;;;;;;;;;;;;;;;;;;;;;;
InteractionOption_WarmTransferTo;"[1420 => ""ADRC (Aging and Disability Resource Centers)"", 1776 => ""County Agency - Child Welfare or CPS"", 1777 => ""County Agency - Alcohol or Drug Related (AODA)"", 1778 => ""Recovery Organization"", 1954 => ""CCR&R"", 2362 => ""Other"", 2758 => ""Recovery Coach Warm Line"", 2770 => ""Family Services COVID-19 Support Line"", 2782 => ""Covering Wisconsin""]";Where the caller was warmtransferred to - options are self explanatory;None;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_DidYouMakeAnOutOfDatabaseReferral;true,false,null;equals true if the agent gave the caller a referral to an organization that was not in our database ;None;;;;;;;;;;;;;;;;;;;;;;
InteractionCustom_OutOfDatabaseDescription;text;description of out of database resource that was provided to the caller;None;;;;;;;;;;;;;;;;;;;;;;
